Stock	EG	Species	Spp	Country	DLS	IC_Aggreg	Landings	BMS	Discards																																
spr.27.7de	HAWG	Sprat	Sprattus sprattus	Netherlands	DLS	Q	y	y	n																																
spr.27.7de	HAWG	Sprat	Sprattus sprattus	UK - Northern Ireland	DLS	Q	y	y	n																																
spr.27.7de	HAWG	Sprat	Sprattus sprattus	Denmark	DLS	Q	y	y	n																																
spr.27.7de	HAWG	Sprat	Sprattus sprattus	France	DLS	Q	y	y	n																																
spr.27.7de	HAWG	Sprat	Sprattus sprattus	UK-England & Wales	DLS	Q	y	y	n																																
spr.27.3a	HAWG	Sprat	Sprattus sprattus	Denmark	DLS	Q	y	y	n																																
spr.27.3a	HAWG	Sprat	Sprattus sprattus	Germany	DLS	Q	y	y	n																																
spr.27.3a	HAWG	Sprat	Sprattus sprattus	Norway	DLS	Q	y	y	n																																
spr.27.3a	HAWG	Sprat	Sprattus sprattus	Sweden	DLS	Q	y	y	n																																
cod.27.1-2coast	AFWG	Cod	Gadus morhua	Norway	DLS	A	y	n	n																																
cod.21.1	NWWG	Cod	Gadus morhua	Greenland	DLS	A	y	y	n																																
cod.21.1a-e	NWWG	Cod	Gadus morhua	Greenland	DLS	Q	y	y	n																																
cod.2127.1f14	NWWG	Cod	Gadus morhua	Greenland	DLS	Q	y	y	n																																
cod.2127.1f14	NWWG	Cod	Gadus morhua	Iceland	DLS	Q	y	y	n																																
cod.2127.1f14	NWWG	Cod	Gadus morhua	Norway	DLS	Q	y	y	n																																
cod.2127.1f14	NWWG	Cod	Gadus morhua	Portugal	DLS	Q	y	y	n																																
cod.2127.1f14	NWWG	Cod	Gadus morhua	Spain	DLS	Q	y	y	n																																
cod.2127.1f14	NWWG	Cod	Gadus morhua	United Kingdom	DLS	Q	y	y	n																																
reb.27.5a14	NWWG	Sebastes mentella	Sebastes mentella	Iceland	DLS	A	y	y	n																																
reb.27.14b	NWWG	Sebastes mentella	Sebastes mentella	Iceland	DLS	A	y	y	n																																
reb.27.14b	NWWG	Sebastes mentella	Sebastes mentella	Germany	DLS	A	y	y	n																																
reb.27.14b	NWWG	Sebastes mentella	Sebastes mentella	Norway	DLS	A	y	y	n																																
reb.27.14b	NWWG	Sebastes mentella	Sebastes mentella	Greenland	DLS	A	y	y	n																																
reb.27.14b	NWWG	Sebastes mentella	Sebastes mentella	United Kingdom	DLS	A	y	y	n																																
reb.27.14b	NWWG	Sebastes mentella	Sebastes mentella	Russia	DLS	A	y	y	n																																
bll.27.22-32	WGBFAS	Brill	Scophthalmus rhombus	Denmark	DLS	Q	y	n	y																																
bll.27.22-32	WGBFAS	Brill	Scophthalmus rhombus	Estonia	DLS	Q	y	n	y																																
bll.27.22-32	WGBFAS	Brill	Scophthalmus rhombus	Finland	DLS	Q	y	n	y																																
bll.27.22-32	WGBFAS	Brill	Scophthalmus rhombus	Germany	DLS	Q	y	n	y																																
bll.27.22-32	WGBFAS	Brill	Scophthalmus rhombus	Lithuania	DLS	Q	y	n	y																																
bll.27.22-32	WGBFAS	Brill	Scophthalmus rhombus	Sweden	DLS	Q	y	n	y																																
cod.27.25-32	WGBFAS	Cod	Gadus morhua	Denmark	DLS	Q	y	y	y																																
cod.27.25-32	WGBFAS	Cod	Gadus morhua	Estonia	DLS	Q	y	y	y																																
cod.27.25-32	WGBFAS	Cod	Gadus morhua	Finland	DLS	Q	y	y	y																																
cod.27.25-32	WGBFAS	Cod	Gadus morhua	Germany	DLS	Q	y	y	y																																
cod.27.25-32	WGBFAS	Cod	Gadus morhua	Latvia	DLS	Q	y	y	y																																
cod.27.25-32	WGBFAS	Cod	Gadus morhua	Lithuania	DLS	Q	y	y	y																																
cod.27.25-32	WGBFAS	Cod	Gadus morhua	Poland	DLS	Q	y	y	y																																
cod.27.25-32	WGBFAS	Cod	Gadus morhua	Russia	DLS	Q	y	y	y																																
cod.27.25-32	WGBFAS	Cod	Gadus morhua	Sweden	DLS	Q	y	y	y																																
cod.27.21	WGBFAS	Cod	Gadus morhua	Denmark	DLS	Q	y	y	y																																
cod.27.21	WGBFAS	Cod	Gadus morhua	Germany	DLS	Q	y	y	y																																
cod.27.21	WGBFAS	Cod	Gadus morhua	Sweden	DLS	Q	y	y	y																																
dab.27.22-32	WGBFAS	Dab	Limanda limanda	Denmark	DLS	Q	y	n	y																																
dab.27.22-32	WGBFAS	Dab	Limanda limanda	Estonia	DLS	Q	y	n	y																																
dab.27.22-32	WGBFAS	Dab	Limanda limanda	Finland	DLS	Q	y	n	y																																
